"","nama_sklh","kota_sklh","provinsi","lulus.2020","tdk_admisi.2020","tdk_bayar.2020","jml.2020","lulus.2021","tdk_admisi.2021","tdk_bayar.2021","jml.2021"
"272","SMKN 1 RANGKASBITUNG","Kab. Lebak","Banten",4,0,1,1,1,0,0,0
"273","SMKN 1 TANGERANG","Kota Tangerang","Banten",9,1,0,1,0,0,0,0
"274","SMKN 1 TUNJUNG TEJA","Kab. Serang","Banten",4,3,0,3,0,0,0,0
"275","SMKN 10 PANDEGLANG","Kab. Pandeglang","Banten",0,0,0,0,1,0,0,0
"276","SMKN 2 KABUPATEN TANGERANG","Kab. Tangerang","Banten",4,0,1,1,4,0,0,0
"277","SMKN 2 KOTA SERANG","Kota Serang","Banten",11,0,0,0,2,0,0,0
"278","SMKN 2 KOTA TANGERANG SELATAN","Kota Tangerang Selatan","Banten",6,0,0,0,0,0,0,0
"279","SMKN 2 PANDEGLANG","Kab. Pandeglang","Banten",4,0,0,0,3,0,0,0
"280","SMKN 2 RANGKASBITUNG","Kab. Lebak","Banten",2,1,0,1,0,0,0,0
"281","SMKN 2 TANGERANG","Kota Tangerang","Banten",4,0,1,1,2,1,0,1
"282","SMKN 3 CILEGON","Kota Cilegon","Banten",1,0,0,0,1,0,0,0
"283","SMKN 3 JAKARTA","Kota Jakarta Pusat","DKI Jakarta",1,0,0,0,0,0,0,0
"284","SMKN 3 KAB TANGERANG","Kab. Tangerang","Banten",9,0,1,1,3,0,0,0
"285","SMKN 3 KOTA SERANG","Kota Serang","Banten",3,0,0,0,0,0,0,0
"286","SMKN 3 KOTA TANGERANG SELATAN","Kota Tangerang Selatan","Banten",0,0,0,0,1,0,1,1
"287","SMKN 3 PANDEGLANG","Kab. Pandeglang","Banten",1,0,1,1,0,0,0,0
"288","SMKN 3 TANGERANG","Kota Tangerang","Banten",3,0,0,0,0,0,0,0
"289","SMKN 4 CILEGON","Kota Cilegon","Banten",1,0,0,0,0,0,0,0
"290","SMKN 4 KOTA SERANG","Kota Serang","Banten",3,0,1,1,0,0,0,0
"291","SMKN 4 PANDEGLANG","Kab. Pandeglang","Banten",2,0,0,0,1,0,0,0
"292","SMKN 4 TANGERANG","Kota Tangerang","Banten",3,2,0,2,0,0,0,0
"293","SMKN 5 KABUPATEN TANGERANG MAUK","Kab. Tangerang","Banten",3,2,0,2,0,0,0,0
"294","SMKN 5 KOTA SERANG","Kota Serang","Banten",5,1,0,1,0,0,0,0
"295","SMKN 6 PANDEGLANG","Kab. Pandeglang","Banten",1,0,0,0,0,0,0,0
"296","SMKN 6 TANGERANG","Kota Tangerang","Banten",3,0,0,0,1,0,0,0
"297","SMKN 7 KOTA SERANG","Kota Serang","Banten",2,0,0,0,1,0,0,0
"298","SMKN 7 PANDEGLANG","Kab. Pandeglang","Banten",0,0,0,0,1,0,0,0
"299","SMKN 7 TANGERANG","Kota Tangerang","Banten",1,1,0,1,0,0,0,0
"300","SMKN 8 PANDEGLANG","Kab. Pandeglang","Banten",0,0,0,0,2,0,0,0
"301","SMKN 9 KABUPATEN TANGERANG","Kab. Tangerang","Banten",2,0,0,0,0,0,0,0
"302","SMKN 9 TANGERANG","Kota Tangerang","Banten",1,0,0,0,0,0,0,0
"303","SMKN PERTANIAN","Kota Serang","Banten",1,1,0,1,0,0,0,0
"304","SMKS AL BANA TAKTAKAN KOTA SERANG","Kota Serang","Banten",2,0,0,0,0,0,0,0
