"","nama_sklh","kota_sklh","provinsi","lulus.2020","tdk_admisi.2020","tdk_bayar.2020","jml.2020","lulus.2021","tdk_admisi.2021","tdk_bayar.2021","jml.2021"
"141","SMAN 2 BANJARSARI","Kab. Lebak","Banten",0,0,0,0,2,0,0,0
"142","SMAN 2 CIBEBER","Kab. Lebak","Banten",0,0,0,0,1,0,0,0
"143","SMAN 2 KABUPATEN TANGERANG","Kab. Tangerang","Banten",1,0,0,0,1,0,0,0
"144","SMAN 2 KOTA SERANG","Kota Serang","Banten",12,0,0,0,12,0,0,0
"145","SMAN 2 KRAKATAU STEEL CILEGON","Kota Cilegon","Banten",7,0,0,0,7,0,0,0
"146","SMAN 2 PANDEGLANG","Kab. Pandeglang","Banten",15,0,0,0,14,0,0,0
"147","SMAN 2 RANGKASBITUNG","Kab. Lebak","Banten",7,2,0,2,12,1,1,2
"148","SMAN 20 KABUPATEN TANGERANG","Kab. Tangerang","Banten",0,0,0,0,4,1,0,1
"149","SMAN 21 KABUPATEN TANGERANG","Kab. Tangerang","Banten",5,0,0,0,1,0,0,0
"150","SMAN 22 KABUPATEN TANGERANG","Kab. Tangerang","Banten",0,0,0,0,3,0,0,0
"151","SMAN 23 KABUPATEN TANGERANG","Kab. Tangerang","Banten",1,0,0,0,0,0,0,0
"152","SMAN 24 KABUPATEN TANGERANG","Kab. Tangerang","Banten",2,0,0,0,4,0,0,0
"153","SMAN 25 KABUPATEN TANGERANG","Kab. Tangerang","Banten",0,0,0,0,2,0,0,0
"154","SMAN 26 KABUPATEN TANGERANG","Kab. Tangerang","Banten",3,0,0,0,0,0,0,0
"155","SMAN 27 KABUPATEN TANGERANG","Kab. Tangerang","Banten",0,0,0,0,1,0,0,0
"156","SMAN 28 KABUPATEN TANGERANG","Kab. Tangerang","Banten",2,0,0,0,2,0,0,0
"157","SMAN 29 KABUPATEN TANGERANG","Kab. Tangerang","Banten",0,0,0,0,1,0,0,0
"158","SMAN 3 CIBEBER","Kab. Lebak","Banten",0,0,0,0,1,0,0,0
"159","SMAN 3 CILEGON","Kota Cilegon","Banten",7,1,0,1,5,0,0,0
"160","SMAN 3 KABUPATEN TANGERANG","Kab. Tangerang","Banten",1,0,0,0,4,0,0,0
"161","SMAN 3 KOTA SERANG","Kota Serang","Banten",7,0,0,0,26,1,2,3
"162","SMAN 3 PANDEGLANG","Kab. Pandeglang","Banten",6,0,0,0,11,0,0,0
"163","SMAN 3 RANGKAS BITUNG","Kab. Lebak","Banten",7,0,0,0,14,0,0,0
"164","SMAN 3 TANGERANG","Kota Tangerang","Banten",2,0,0,0,0,0,0,0
"165","SMAN 4 CILEGON","Kota Cilegon","Banten",1,1,0,1,4,0,0,0
"166","SMAN 4 KABUPATEN TANGERANG","Kab. Tangerang","Banten",3,0,0,0,5,0,0,0
"167","SMAN 4 KOTA SERANG","Kota Serang","Banten",8,0,0,0,9,1,0,1
"168","SMAN 4 PANDEGLANG","Kab. Pandeglang","Banten",2,0,0,0,15,0,1,1
"169","SMAN 4 TANGERANG","Kota Tangerang","Banten",1,0,0,0,5,0,0,0
"170","SMAN 46 JAKARTA","Kota Jakarta Selatan","DKI Jakarta",1,0,0,0,0,0,0,0
"171","SMAN 5 CILEGON","Kota Cilegon","Banten",7,0,1,1,4,0,0,0
"172","SMAN 5 KOTA SERANG","Kota Serang","Banten",5,0,0,0,8,0,1,1
"173","SMAN 5 KOTA TANGERANG SELATAN","Kota Tangerang Selatan","Banten",1,0,0,0,1,0,0,0
"174","SMAN 5 PANDEGLANG","Kab. Pandeglang","Banten",2,0,0,0,6,1,0,1
"175","SMAN 5 TANGERANG","Kota Tangerang","Banten",1,0,0,0,3,1,0,1
"176","SMAN 6 KABUPATEN TANGERANG","Kab. Tangerang","Banten",0,0,0,0,3,0,0,0
"177","SMAN 6 KOTA SERANG","Kota Serang","Banten",24,2,1,3,24,0,0,0
"178","SMAN 6 KOTA TANGERANG SELATAN","Kota Tangerang Selatan","Banten",0,0,0,0,2,0,0,0
"179","SMAN 6 PANDEGLANG","Kab. Pandeglang","Banten",3,0,0,0,2,0,0,0
"180","SMAN 6 TANGERANG","Kota Tangerang","Banten",1,0,0,0,2,0,0,0
"181","SMAN 7 KABUPATEN TANGERANG","Kab. Tangerang","Banten",4,0,0,0,2,0,1,1
"182","SMAN 7 KOTA SERANG","Kota Serang","Banten",1,0,0,0,10,0,0,0
"183","SMAN 7 KOTA TANGERANG SELATAN","Kota Tangerang Selatan","Banten",0,0,0,0,2,0,0,0
"184","SMAN 7 PANDEGLANG","Kab. Pandeglang","Banten",6,0,0,0,4,0,0,0
"185","SMAN 7 TANGERANG","Kota Tangerang","Banten",4,0,0,0,3,0,0,0
"186","SMAN 72 JAKARTA","Kota Jakarta Utara","DKI Jakarta",1,0,0,0,0,0,0,0
"187","SMAN 8 KABUPATEN TANGERANG","Kab. Tangerang","Banten",0,0,0,0,5,0,0,0
"188","SMAN 8 KOTA SERANG","Kota Serang","Banten",3,0,0,0,6,0,1,1
"189","SMAN 8 PANDEGLANG","Kab. Pandeglang","Banten",0,0,0,0,4,0,0,0
"190","SMAN 8 TANGERANG","Kota Tangerang","Banten",1,0,0,0,0,0,0,0
"191","SMAN 86 JAKARTA","Kota Jakarta Selatan","DKI Jakarta",1,1,0,1,0,0,0,0
"192","SMAN 9 KABUPATEN TANGERANG","Kab. Tangerang","Banten",0,0,0,0,1,1,0,1
"193","SMAN 9 TANGERANG","Kota Tangerang","Banten",2,0,0,0,2,0,0,0
"194","SMAN 95 JAKARTA","Kota Jakarta Barat","DKI Jakarta",1,0,0,0,0,0,0,0
"195","SMAN 96 JAKARTA","Kota Jakarta Barat","DKI Jakarta",1,0,0,0,0,0,0,0
"196","SMAS ADZKIA ISLAMIC SCHOOL","Kota Tangerang Selatan","Banten",0,0,0,0,1,0,0,0
"197","SMAS AL-MADINAH ISLAMIC CENTER KKMB","Kota Tangerang Selatan","Banten",0,0,0,0,1,0,0,0
"198","SMAS AL IRSYAD WARINGINKURUNG","Kab. Serang","Banten",0,0,0,0,1,0,1,1
"199","SMAS AL ISHLAH CILEGON","Kota Cilegon","Banten",0,0,0,0,2,0,0,0
"200","SMAS AL KHAIRIYAH 1","Kota Cilegon","Banten",0,0,0,0,1,1,0,1
"201","SMAS AL KHAIRIYAH 4","Kota Cilegon","Banten",0,0,0,0,4,0,1,1
"202","SMAS AL MA ARIF","Kota Cilegon","Banten",0,0,0,0,2,0,0,0
"203","SMAS AL MUBARAK","Kota Tangerang Selatan","Banten",0,0,0,0,1,0,0,0
"204","SMAS ALLAYINAH","Kab. Tangerang","Banten",0,0,0,0,1,0,0,0
"205","SMAS AN NURMANIYAH","Kota Tangerang","Banten",1,0,0,0,1,0,0,0
"206","SMAS ASY SYUKRIYAH","Kota Tangerang","Banten",0,0,0,0,1,0,0,0
"207","SMAS BINA MACHMUD","Kab. Serang","Banten",0,0,0,0,1,0,0,0
"208","SMAS BINA PUTERA KOPO","Kab. Serang","Banten",0,0,0,0,1,0,0,0
"209","SMAS BUDI LUHUR","Kota Tangerang","Banten",0,0,0,0,1,0,0,0
